,sim_num,train_percentage,synthetic_percentage,transform,epoch,val_losses,train_losses,val_accuracies
65,0,0.8,0.1,auto,7,0.8969951644539833,0.9054703079164028,0.5732421875
66,0,0.8,0.1,auto,8,0.9226348921656609,0.8833854561671615,0.5576171875
67,0,0.8,0.1,auto,9,0.8610386736690998,0.8593598874285817,0.5947265625
68,1,0.8,0.1,auto,0,1.0191993527114391,1.0835359515622258,0.5048828125
69,1,0.8,0.1,auto,1,1.01357302069664,1.0515469703823328,0.5048828125
70,1,0.8,0.1,auto,2,1.015389945358038,1.043358207680285,0.5048828125
71,1,0.8,0.1,auto,3,1.0061625465750694,1.0425015250220895,0.5048828125
72,1,0.8,0.1,auto,4,1.0005035363137722,1.0321532161906362,0.50390625
73,1,0.8,0.1,auto,5,1.0074472539126873,1.0289666131138802,0.5302734375
74,1,0.8,0.1,auto,6,0.9588313810527325,1.0031609302386642,0.521484375
